date,windSpeed3s,windDir3s,windSpeed2m,windDir2m,windSpeed10m,windDir10m,temperature
2021-10-20 18:00:00,2.62,86.47,1.55,79.20,1.53,79.80,17.60
2021-10-20 19:00:00,2.28,58.79,1.42,63.63,1.56,63.68,12.47
2021-10-20 20:00:00,1.61,79.16,1.71,62.24,1.68,61.66,13.79
2021-10-20 21:00:00,1.59,53.62,1.88,57.80,1.84,55.12,12.24
2021-10-20 22:00:00,1.90,81.57,1.55,81.80,1.38,91.39,6.77
2021-10-20 23:00:00,1.87,93.35,1.47,93.69,1.66,88.20,5.56
2021-10-21 00:00:00,0.95,107.68,0.86,101.75,0.89,98.11,8.88
2021-10-21 01:00:00,0.97,97.23,0.65,101.80,0.64,90.43,5.00
2021-10-21 02:00:00,0.95,241.65,1.28,192.52,1.01,156.42,4.69
2021-10-21 03:00:00,1.04,85.31,0.69,136.56,0.61,133.02,3.05
2021-10-21 04:00:00,0.58,63.13,0.51,108.36,0.56,138.83,-1.00
2021-10-21 05:00:00,0.53,20.94,0.56,36.19,0.53,117.77,2.00
2021-10-21 06:00:00,0.62,71.87,0.63,66.90,0.60,73.53,2.67
2021-10-21 07:00:00,1.48,48.76,0.93,87.52,1.07,62.75,12.83
2021-10-21 08:00:00,0.69,108.76,0.62,97.47,0.65,87.36,2.17
2021-10-21 09:00:00,0.73,12.76,0.87,26.77,0.71,43.01,9.00
2021-10-21 10:00:00,0.48,13.69,0.57,39.51,0.56,32.74,16.63
2021-10-21 11:00:00,1.13,189.60,0.88,201.04,0.65,181.61,21.10
2021-10-21 12:00:00,1.03,292.72,1.17,275.05,1.10,299.67,20.21
2021-10-21 13:00:00,1.61,323.64,1.62,318.25,1.47,288.53,20.08
2021-10-21 14:00:00,2.11,287.84,1.70,287.41,1.77,289.55,21.00
2021-10-21 15:00:00,2.68,337.65,2.10,317.96,1.89,319.98,22.15
2021-10-21 16:00:00,1.67,286.71,1.40,283.74,1.50,294.81,21.79
2021-10-21 17:00:00,1.64,256.01,1.29,250.86,1.55,254.22,21.72
2021-10-21 18:00:00,0.39,333.04,0.36,302.68,0.39,294.32,29.65
2021-10-21 19:00:00,1.28,22.88,1.20,41.32,1.46,17.64,10.66
2021-10-21 20:00:00,0.72,145.02,0.80,94.56,0.71,104.83,8.62
2021-10-21 21:00:00,0.65,57.85,0.64,73.76,0.57,57.46,7.00
2021-10-21 22:00:00,1.03,81.82,0.66,71.78,0.56,73.56,6.32
2021-10-21 23:00:00,1.54,104.15,1.19,121.02,0.99,122.53,5.57
2021-10-22 00:00:00,2.09,167.46,2.44,171.48,2.22,169.24,3.88
2021-10-22 01:00:00,1.37,114.82,1.26,113.12,1.36,144.45,3.83
2021-10-22 02:00:00,0.66,102.30,0.72,80.64,0.82,85.08,13.57
2021-10-22 03:00:00,0.89,102.61,0.73,92.56,0.78,106.14,-0.30
2021-10-22 04:00:00,1.01,68.04,0.75,100.23,0.71,63.25,0.33
2021-10-22 05:00:00,1.11,40.12,0.82,109.01,0.60,112.74,-2.17
2021-10-22 06:00:00,1.21,333.64,0.38,281.89,0.38,0.00,-16.83
